bathrooms,parking,price,rooms,size,ubication,years
2,1,"2,800,000",3,109 m²,"Avenida Aztecas, Pueblo de los Reyes, Coyoacán, Distrito Federal",1 años
3,3,"7,760,936",3,109 m²,"Avenida Universidad, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",Loft
3,3,"5,926,349",3,114 m²,"Avenida Universidad, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",Loft
1,1,"2,367,000",2,60 m²,"Anacahuita 90, Pedregal De Santo Domingo, Coyoacán, Distrito Federal",4
3,3,"6,143,431",3,134 m²,"Avenida El Bordo, Pueblo de Santa Ursula Coapa, Coyoacán, Distrito Federal",Loft
3,3,"7,358,769",3,110 m²,"Avenida Universidad, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",Loft
2,1,"3,885,200",2,63 m²,"Avenida Miguel Ángel De Quevedo, Atlántida, Coyoacán, Distrito Federal",1
3,3,"7,336,439",3,109 m²,"Avenida Universidad, Barrio Oxtopulco Universidad, Coyoacán, Distrito Federal",Loft
2,1,"2,076,000",2,65 m²,"Toltecas, Ajusco, Coyoacán, Distrito Federal",
2,2,"6,490,000",5,160 m²,"Insurgentes Cuicuilco, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",0 años
2,1,"1,350,000",3,54 m²,"Calz De La Virgen, STUNAM, Coyoacán, Distrito Federal",36 años
1,1,"3,300,000",3,82 m²,"Avenida Universidad 1953, Copilco Universidad, Coyoacán, Distrito Federal",1
3,3,"15,000,000",4,224 m²,"Anillo Perif  Blvd  Adolfo López Mateos, Pedregal De Carrasco, Coyoacán, Distrito Federal",
1,2,"3,290,000",2,76 m²,"Avenida Del Imán, Insurgentes Cuicuilco, Coyoacán, Distrito Federal",
2,2,"5,195,000",3,136 m²,"Calzada De Tlalpan, El Reloj, Coyoacán, Distrito Federal",
2,2,"4,500,000",3,94 m²,"Santa Ursula, Pedregal De Carrasco, Coyoacán, Distrito Federal",
